lhs,rhs,support,confidence,coverage,lift,count
{Bartlett Pears},{Banana},0.00355158563818031,0.386081193040597,0.00919906408859148,2.70518675946084,466
{Granny Smith Apples},{Banana},0.00330769992912072,0.314720812182741,0.0105099497747868,2.20518012633159,434
{Yellow Bell Pepper},{Orange Bell Pepper},0.00301808564961245,0.339622641509434,0.00888658552385888,23.9064094258644,396
{Unsweetened Original Almond Breeze Almond Milk},{Banana},0.00333056421434505,0.298293515358362,0.0111653926178844,2.09007763839877,437
{Clementines, Bag},{Banana},0.00355158563818031,0.315290933694181,0.0112644711871899,2.20917484348392,466
{Red Raspberries},{Banana},0.00334580707116128,0.294038847957133,0.0113787926133116,2.06026611137496,439
{Grape White/Green Seedless},{Banana},0.00306381422006112,0.263261296660118,0.0116379211791874,1.84461451850248,402
{Organic Broccoli},{Bag of Organic Bananas},0.00400124991425893,0.317604355716878,0.0125982211586095,2.69202518793643,525
{Organic Grade A Free Range Large Brown Eggs},{Bag of Organic Bananas},0.00339153564160995,0.251839275608376,0.0134670639971343,2.13459815977386,445
{Organic Black Beans},{Bag of Organic Bananas},0.00314002850414225,0.261421319796954,0.0120113711711849,2.21581588819371,412
{Lime Sparkling Water},{Sparkling Water Grapefruit},0.00384882134609669,0.256866734486267,0.0149837282503487,10.033708652935,505
{Organic Lacinato (Dinosaur) Kale},{Bag of Organic Bananas},0.00346012849728296,0.257808063600227,0.0134213354266857,2.18518980729472,454
{Boneless Skinless Chicken Breasts},{Banana},0.00446615704715378,0.280651340996169,0.0159135425161384,1.9664627683844,586
{Organic Carrot Bunch},{Bag of Organic Bananas},0.0035439642097722,0.266934557979334,0.0132765282869315,2.26254628022677,465
{Organic Unsweetened Almond Milk},{Bag of Organic Bananas},0.0046643141857647,0.28125,0.0165842282160523,2.38388444767442,612
{Roma Tomato},{Banana},0.00435945704944021,0.292882744495648,0.0148846496810432,2.05216554643434,572
{Bunched Cilantro},{Limes},0.00425275705172663,0.290625,0.0146331425435755,6.32067224017902,558
{Jalapeno Peppers},{Limes},0.0041689213392374,0.288046340179042,0.0144730925470052,6.26459012904888,547
{Organic Navel Orange},{Bag of Organic Bananas},0.00552553559588138,0.366161616161616,0.0150904282480623,3.10359815858847,725
{Orange Bell Pepper},{Banana},0.00371163563475066,0.261266094420601,0.0142063425527212,1.83063457133572,487
{Organic Kiwi},{Organic Strawberries},0.00394027848699403,0.275,0.014328285407251,3.31214200477327,517
{Organic Kiwi},{Bag of Organic Bananas},0.00498441417890541,0.347872340425532,0.014328285407251,2.94857764308098,654
{Organic D'Anjou Pears},{Organic Strawberries},0.00364304277907765,0.252509244585314,0.0144273639765565,3.04125991121668,478
{Organic D'Anjou Pears},{Bag of Organic Bananas},0.0046033427584998,0.319070258848389,0.0144273639765565,2.70445023212133,604
{Red Vine Tomato},{Banana},0.00452712847441868,0.265890778871979,0.0170262710637228,1.8630387271715,594
{Organic Whole String Cheese},{Organic Strawberries},0.00392503563017781,0.258404415454089,0.0151895068173677,3.1122622496159,515
