items,support,transIdenticalToItemsets,count
{Bag of Organic Bananas,Organic Strawberries},0.0234282709265371,3074,3074
{Bag of Organic Bananas,Organic Hass Avocado},0.0184438567476316,2420,2420
{Bag of Organic Bananas,Organic Baby Spinach},0.017041513920539,2236,2236
{Banana,Organic Avocado},0.0168890853523767,2216,2216
{Banana,Organic Strawberries},0.016568985359236,2174,2174
{Banana,Large Lemon},0.0164470425047062,2158,2158
{Banana,Organic Baby Spinach},0.0152428568162245,2000,2000
{Banana,Strawberries},0.0148465425390027,1948,1948
{Bag of Organic Bananas,Organic Raspberries},0.0135661425664398,1780,1780
{Organic Raspberries,Organic Strawberries},0.0127277854415475,1670,1670
{Organic Baby Spinach,Organic Strawberries},0.012491521160896,1639,1639
{Large Lemon,Limes},0.012156178310939,1595,1595
{Organic Hass Avocado,Organic Strawberries},0.0117293783200848,1539,1539
{Organic Avocado,Organic Baby Spinach},0.0106852426281734,1402,1402
{Large Lemon,Organic Avocado},0.0102813069225434,1349,1349
{Banana,Limes},0.0101441212111974,1331,1331
{Organic Blueberries,Organic Strawberries},0.00967159264989444,1269,1269
{Bag of Organic Bananas,Organic Cucumber},0.00966397122148633,1268,1268
{Organic Baby Spinach,Organic Hass Avocado},0.00954202836695654,1252,1252
{Large Lemon,Organic Baby Spinach},0.00943532836924296,1238,1238
{Banana,Honeycrisp Apple},0.00938197837038618,1231,1231
{Banana,Organic Fuji Apple},0.00922192837381582,1210,1210
{Banana,Seedless Red Grapes},0.00885609981022643,1162,1162
{Bag of Organic Bananas,Organic Blueberries},0.00866556410002363,1137,1137
{Bag of Organic Bananas,Organic Whole Milk},0.00852075696026949,1118,1118
{Organic Avocado,Organic Strawberries},0.00829211410802613,1088,1088
{Banana,Yellow Onions},0.00816254982508822,1071,1071
{Bag of Organic Bananas,Organic Avocado},0.00815492839668011,1070,1070
{Bag of Organic Bananas,Organic Lemon},0.00813206411145577,1067,1067
{Bag of Organic Bananas,Large Lemon},0.00805584982737465,1057,1057
{Banana,Organic Whole Milk},0.00795677125806919,1044,1044
{Bag of Organic Bananas,Organic Zucchini},0.00793390697284485,1041,1041
{Limes,Organic Avocado},0.0079034212592124,1037,1037
{Organic Cucumber,Organic Strawberries},0.00786531411717184,1032,1032
{Organic Hass Avocado,Organic Raspberries},0.00776623554786638,1019,1019
{Large Lemon,Organic Strawberries},0.00775099269105016,1017,1017
{Limes,Organic Cilantro},0.00767477840696903,1007,1007
{Bag of Organic Bananas,Organic Yellow Onion},0.00762142840811225,1000,1000
